trade_id,date_shamsi,time,action,signal,price_irr,qty_usdt,gross_value_irr,fee_irr,pnl_trade_irr,pnl_realized_total_irr,cash_after_irr,usdt_after,equity_after_irr
1,1404/10/02,07:44:30,BUY,🟢 زمان قطعی خرید تتر,1321100.0,754.30490294,996512207.27,3487792.73,0.0,0.0,0.0,754.30490294,996512207.27
2,1404/10/04,09:48:14,SELL,🔴 زمان قطعی فروش تتر,1350800.0,754.30490294,1018915062.89,3566202.72,18836652.9,18836652.9,1015348860.17,0.0,1015348860.17
3,1404/10/06,14:45:12,BUY,🟢 زمان قطعی خرید تتر,1384000.0,731.07480766,1011807533.8,3541326.37,0.0,18836652.9,0.0,731.07480766,1011807533.8
4,1404/10/06,16:55:21,SELL,🔴 زمان قطعی فروش تتر,1391400.0,731.07480766,1017217487.38,3560261.21,1849692.37,20686345.27,1013657226.17,0.0,1013657226.17
5,1404/10/07,10:44:49,BUY,🟢 زمان قطعی خرید تتر,1439600.0,701.66838002,1010121799.87,3535426.3,0.0,20686345.27,0.0,701.66838002,1010121799.87
6,1404/10/09,08:02:45,SELL,🔴 زمان قطعی فروش تتر,1383000.0,701.66838002,970407369.57,3396425.79,-43110856.1,-22424510.83,967010943.77,0.0,967010943.77
7,1404/10/09,09:54:23,BUY,🟢 زمان قطعی خرید تتر,1376100.0,700.26757506,963638210.04,3372733.74,0.0,-22424510.83,0.0,700.26757506,963638210.04
8,1404/10/10,11:47:19,SELL,🔴 زمان قطعی فروش تتر,1371200.0,700.26757506,960206898.92,3360724.15,-6792035.26,-29216546.1,956846174.77,0.0,956846174.77
9,1404/10/11,11:30:55,BUY,🟢 زمان قطعی خرید تتر,1349100.0,706.77406689,953508893.65,3337281.13,0.0,-29216546.1,0.0,706.77406689,953508893.65
10,1404/10/14,09:39:08,SELL,🔴 زمان قطعی فروش تتر,1376100.0,706.77406689,972591793.45,3404071.28,15678828.53,-13537717.57,969187722.17,0.0,969187722.17
11,1404/10/24,17:54:06,BUY,🟢 زمان قطعی خرید تتر,1419700.0,680.28977692,965807396.29,3380325.89,0.0,-13537717.57,0.0,680.28977692,965807396.29
12,1404/11/04,15:29:19,SELL,🔴 زمان قطعی فروش تتر,1419700.0,680.28977692,965807396.29,3380325.89,-3380325.89,-16918043.46,962427070.4,0.0,962427070.4
13,1404/11/05,13:39:19,BUY,🟢 زمان قطعی خرید تتر,1419800.0,675.4967772,959070324.27,3356746.13,0.0,-16918043.46,0.0,675.4967772,959070324.27
14,1404/11/06,08:40:13,SELL,🔴 زمان قطعی فروش تتر,1456100.0,675.4967772,983590857.28,3442568.0,21077965.01,4159921.56,980148289.28,0.0,980148289.28
15,1404/11/06,15:39:43,BUY,🟢 زمان قطعی خرید تتر,1454000.0,671.75360055,976729735.2,3418554.07,0.0,4159921.56,0.0,671.75360055,976729735.2
16,1404/11/09,09:31:17,SELL,🔴 زمان قطعی فروش تتر,1642500.0,671.75360055,1103355288.91,3861743.51,122763810.19,126923731.75,1099493545.4,0.0,1099493545.4
17,1404/11/09,10:20:38,BUY,🟢 زمان قطعی خرید تتر,1599400.0,685.04360373,1095658739.81,3834805.59,0.0,126923731.75,0.0,685.04360373,1095658739.81
18,1404/11/12,08:16:59,SELL,🔴 زمان قطعی فروش تتر,1621000.0,685.04360373,1110455681.65,3886594.89,10910346.95,137834078.7,1106569086.76,0.0,1106569086.76
19,1404/11/18,07:00:28,BUY,🟢 زمان قطعی خرید تتر,1616000.0,682.36980393,1102709603.15,3859483.61,0.0,137834078.7,0.0,682.36980393,1102709603.15
20,1404/11/18,08:48:48,SELL,🔴 زمان قطعی فروش تتر,1614100.0,682.36980393,1101413100.52,3854945.85,-5151448.48,132682630.22,1097558154.67,0.0,1097558154.67
21,1404/11/24,16:02:48,BUY,🟢 زمان قطعی خرید تتر,1623200.0,673.81105183,1093730099.32,3828055.35,0.0,132682630.22,0.0,673.81105183,1093730099.32
